Name,Colecao,Estante,Grupo,Genero,Subgenero,AnoPublicacao,Origem,Escritor,GeneroEscritor,Editora,Etiqueta,Formato,Status,Meta,ClubeLivro,DataClube,TotalPagina,Capa,DataInicio,DataFim,,,,,,,,,,,,,,
Os abismos,,Livro,Ficção,Romance,,2022,Colômbia,Pilar Quintana,Feminino,Intrínseca,Tenho,EPUB,Em Análise ,,Verba Aeterna,10/2025,272,https://m.media-amazon.com/images/I/61VWu5AdsbL._SL1500_.jpg,,,,,,,,,,,,,,,,
A Origem das Espécies,,Livro,Não Ficção,Biologia,,,,Charles Darwin,Masculino,Edipro,Não Tenho,-,Quero Ler,,,,,,,,,,,,,,,,,,,,,
A Viagem de Beagle,,Livro,Não Ficção,Biologia,,,,Charles Darwin,Masculino,Edipro,Tenho,Físico,Fila,,,,,,,,,,,,,,,,,,,,,
A expressão das emoções do Homem e dos Animais,,Livro,Não Ficção,Biologia,,,,Charles Darwin,Masculino,Companhia das Letras,Não Tenho,-,Quero Ler,,,,,,,,,,,,,,,,,,,,,
Viagem de um Naturalista ao Redor do Mundo,,Livro,Não Ficção,Biologia,,,,Charles Darwin,Masculino,LP&M Pocket,Não Tenho,-,Quero Ler,,,,,,,,,,,,,,,,,,,,,
Filhos Da Esperança,,Livro,Ficção,Científica,Distopia,1992,Reino Unido,P. D. James,Masculino,Aleph,Desejado,-,Quero Ler,,Babliotecas,07/2024,368,https://m.media-amazon.com/images/I/719jziOJypL._SL1500_.jpg,,,,,,,,,,,,,,,,
Coração Satânico,,Livro,Ficção,Mistério,Suspense,2017,Estados Unidos,William Hjortsberg,Masculino,DarkSide,Desejado,-,Quero Ler,,Babliotecas,09/2024,320,https://darkside.vtexassets.com/arquivos/ids/167853/63-coracao-satanico.jpg?v=636802536906700000,,,,,,,,,,,,,,,,
O Bebê De Rosemary,,Livro,Ficção,Horror,Horror Psicológico,1967,Estados Unidos,Ira Levin,Masculino,DarkSide,Desejado,-,Quero Ler,,Babliotecas,11/2024,240,https://darkside.vtexassets.com/arquivos/ids/187505/o-bebe-de-rosemary.png?v=637832083761900000,,,,,,,,,,,,,,,,
O Massacre Da Familia Hope,,Livro,Ficção,Mistério,Suspense,2024,Estados Unidos,Riley Sager,Masculino,Intrínseca,Desejado,-,Quero Ler,,Babliotecas,12/2024,400,https://m.media-amazon.com/images/I/815bfY-u6-L._SL1500_.jpg,,,,,,,,,,,,,,,,
Salem,,Livro,Ficção,Romance,Sobrenatural,1975,Estados Unidos,Stephen King,Masculino,Suma,Desejado,-,Quero Ler,,Babliotecas,01/2025,464,https://m.media-amazon.com/images/I/81ryDLGSF6L._SL1500_.jpg,,,,,,,,,,,,,,,,
